Design,nRAS,nBTBEntries,nBHTEntries,nICacheSets,nICacheWays,nICacheTLBWays,MulDivUnroll,useVM,nDCacheSets,nDCacheWays,nDCacheTLBWays,nMSHRs,chipfinish_Total_Area,cts_Total_Area,floorplan_Total_Area,placement_Total_Area,route_Total_Area,chipfinish_Fast_Total_Power(nW),chipfinish_Slow_Total_Power(nW),chipfinish_Typical_Total_Power(nW),cts_Fast_Total_Power(nW),cts_Slow_Total_Power(nW),cts_Typical_Total_Power(nW),floorplan_Fast_Total_Power(nW),floorplan_Slow_Total_Power(nW),floorplan_Typical_Total_Power(nW),placement_Fast_Total_Power(nW),placement_Slow_Total_Power(nW),placement_Typical_Total_Power(nW),route_Fast_Total_Power(nW),route_Slow_Total_Power(nW),route_Typical_Total_Power(nW),chipfinish_FUNC_Fast_(Setup)_WNS,chipfinish_FUNC_Slow_(Setup)_WNS,chipfinish_FUNC_Typical_(Setup)_WNS,cts_FUNC_Fast_(Setup)_WNS,cts_FUNC_Slow_(Setup)_WNS,cts_FUNC_Typical_(Setup)_WNS,floorplan_FUNC_Fast_(Setup)_WNS,floorplan_FUNC_Slow_(Setup)_WNS,floorplan_FUNC_Typical_(Setup)_WNS,floorplan.zwlm_FUNC_Fast_(Setup)_WNS,floorplan.zwlm_FUNC_Slow_(Setup)_WNS,floorplan.zwlm_FUNC_Typical_(Setup)_WNS,placement_FUNC_Fast_(Setup)_WNS,placement_FUNC_Slow_(Setup)_WNS,placement_FUNC_Typical_(Setup)_WNS,route_FUNC_Fast_(Setup)_WNS,route_FUNC_Slow_(Setup)_WNS,route_FUNC_Typical_(Setup)_WNS,route.no_si_FUNC_Fast_(Setup)_WNS,route.no_si_FUNC_Slow_(Setup)_WNS,route.no_si_FUNC_Typical_(Setup)_WNS,Frequency
RocketTile_0,3.0,56.0,512.0,64.0,1.0,8.0,4.0,0.0,64.0,4.0,4.0,3.0,45420.7738,45420.7738,45420.7738,45420.7738,45420.7738,7131700.0,1231100.0,2274600.0,7086000.0,1219400.0,2251100.0,8296700.0,1165000.0,2362400.0,7045000.0,1229800.0,2184800.0,7128100.0,1230300.0,2272900.0,6.4842,2.1352,5.4373,6.5486,2.3309,5.426,6.6735,2.6978,5.6019,7.0586,3.5003,6.0883,6.4854,2.5746,5.3596,6.5008,2.1735,5.457,6.645,2.1901,5.5012,100
RocketTile_1,12.0,14.0,0.0,32.0,1.0,20.0,4.0,1.0,64.0,1.0,12.0,2.0,27284.9242,27284.9242,27284.9242,27284.9242,27284.9242,4168000.0,734040.0,1363100.0,4137900.0,723160.0,1344100.0,5406100.0,666620.0,1466900.0,4091600.0,741050.0,1275800.0,4166100.0,733480.0,1362000.0,6.511,2.0168,5.3537,6.4778,2.252,5.3435,6.7448,2.859,5.6912,7.0536,3.4964,6.0811,6.4431,2.5323,5.3108,6.5302,2.0563,5.3765,6.5562,2.0834,5.3995,100
RocketTile_2,6.0,42.0,0.0,64.0,2.0,4.0,8.0,1.0,32.0,4.0,32.0,3.0,46222.2029,46222.2029,46222.2029,46222.2029,46222.2029,7514000.0,1371400.0,2483200.0,7472400.0,1359900.0,2462300.0,8670500.0,1287000.0,2560800.0,7412000.0,1362800.0,2382600.0,7510700.0,1370800.0,2481700.0,6.5566,2.0354,5.4026,6.492,2.2324,5.3564,6.7231,2.7992,5.6699,7.0729,3.5208,6.1083,6.4784,2.5239,5.3441,6.5737,2.0752,5.4246,6.6022,2.1023,5.4498,100
RocketTile_3,3.0,0.0,512.0,32.0,1.0,16.0,4.0,0.0,32.0,2.0,12.0,2.0,26651.376,26651.376,26651.376,26651.376,26651.376,4121600.0,779270.0,1394400.0,4099700.0,772170.0,1381600.0,5180000.0,729180.0,1491200.0,4062100.0,777960.0,1329600.0,4119900.0,778980.0,1393600.0,6.6392,2.204,5.5023,6.5695,2.3782,5.4523,6.6744,2.6969,5.6015,7.0494,3.4739,6.0729,6.5159,2.6464,5.3971,6.6577,2.2438,5.5247,6.6786,2.2646,5.5434,100
RocketTile_4,6.0,0.0,1024.0,64.0,4.0,32.0,8.0,0.0,32.0,1.0,4.0,1.0,42360.421,42360.421,42360.421,42360.421,42360.421,6770700.0,1039200.0,1989600.0,6753500.0,1032400.0,1978600.0,7827500.0,980090.0,2078900.0,6716700.0,1025000.0,1919900.0,6767200.0,1038400.0,1987900.0,6.6275,2.1688,5.4936,6.5504,2.3117,5.426,6.704,2.7543,5.638,7.0511,3.4791,6.0765,6.5234,2.6112,5.4004,6.6436,2.201,5.513,6.6698,2.2309,5.5361,100
RocketTile_5,3.0,14.0,1024.0,32.0,1.0,20.0,4.0,0.0,32.0,4.0,28.0,1.0,34507.3349,34507.3349,34507.3349,34507.3349,34507.3349,5440700.0,1085000.0,1874100.0,5422700.0,1076500.0,1862200.0,74443000.0,46532000.0,58098000.0,73201000.0,47347000.0,57914000.0,5439400.0,1084700.0,1873400.0,6.4578,1.8868,5.2863,6.4013,2.1042,5.2534,-178.7589,-364.8503,-218.9683,7.051,3.4671,6.0745,6.3633,2.3039,5.2012,6.471,1.913,5.3036,6.4871,1.9299,5.3151,100
RocketTile_6,0.0,56.0,512.0,64.0,4.0,4.0,4.0,1.0,64.0,2.0,12.0,1.0,51281.1763,51281.1763,51281.1763,51281.1763,51281.1763,8125300.0,1220300.0,2355700.0,8093200.0,1210000.0,2338000.0,9240300.0,1136100.0,2428100.0,8009700.0,1205800.0,2255600.0,8121200.0,1219300.0,2353800.0,6.533,1.9905,5.3706,6.4583,2.1728,5.3183,6.7287,2.8003,5.67,7.0494,3.4746,6.0728,6.4508,2.543,5.3214,6.5496,2.0312,5.3949,6.5736,2.0527,5.414,100
RocketTile_7,3.0,14.0,512.0,64.0,4.0,16.0,4.0,0.0,64.0,2.0,28.0,2.0,51571.0008,51571.0008,51571.0008,51571.0008,51571.0008,8389300.0,1358600.0,2551400.0,8365100.0,1348900.0,2536100.0,9557100.0,1279900.0,2636100.0,8292500.0,1332000.0,2457400.0,8385000.0,1357600.0,2549300.0,6.5056,1.9333,5.3433,6.4285,2.1131,5.282,6.668,2.7146,5.5929,7.0495,3.4762,6.0733,6.439,2.4894,5.3036,6.5233,1.9693,5.3633,6.5512,1.9956,5.3881,100
RocketTile_8,6.0,28.0,0.0,32.0,1.0,24.0,4.0,0.0,64.0,1.0,16.0,3.0,25819.4952,25819.4952,25819.4952,25819.4952,25819.4952,4062300.0,779750.0,1399700.0,4041400.0,772290.0,1387100.0,5153000.0,726430.0,1502100.0,4017700.0,780090.0,1340400.0,4060600.0,779450.0,1398900.0,6.5351,2.0056,5.3765,6.4583,2.1667,5.3136,6.6989,2.7691,5.6333,7.0529,3.4757,6.0782,6.4359,2.4737,5.2985,6.5535,2.0432,5.4005,6.5828,2.0711,5.4253,100
RocketTile_9,3.0,0.0,128.0,32.0,4.0,28.0,8.0,0.0,64.0,1.0,32.0,2.0,38001.0154,38001.0154,38001.0154,38001.0154,38001.0154,6200800.0,1153800.0,2070900.0,6173700.0,1145800.0,2056300.0,7300600.0,1095100.0,2163100.0,6134400.0,1145500.0,1997700.0,6197900.0,1153200.0,2069500.0,6.5961,2.1334,5.4556,6.5379,2.3163,5.4121,6.6972,2.7437,5.6385,7.0813,3.5564,6.1217,6.4943,2.6213,5.3699,6.6081,2.1599,5.4707,6.6506,2.2003,5.5051,100
