Design,nRAS,nBTBEntries,nBHTEntries,nICacheSets,nICacheWays,nICacheTLBWays,MulDivUnroll,useVM,nDCacheSets,nDCacheWays,nDCacheTLBWays,nMSHRs,chipfinish_Total_Area,cts_Total_Area,floorplan_Total_Area,placement_Total_Area,route_Total_Area,chipfinish_Fast_Total_Power(nW),chipfinish_Slow_Total_Power(nW),chipfinish_Typical_Total_Power(nW),cts_Fast_Total_Power(nW),cts_Slow_Total_Power(nW),cts_Typical_Total_Power(nW),floorplan_Fast_Total_Power(nW),floorplan_Slow_Total_Power(nW),floorplan_Typical_Total_Power(nW),placement_Fast_Total_Power(nW),placement_Slow_Total_Power(nW),placement_Typical_Total_Power(nW),route_Fast_Total_Power(nW),route_Slow_Total_Power(nW),route_Typical_Total_Power(nW),chipfinish_FUNC_Fast_(Setup)_WNS,chipfinish_FUNC_Slow_(Setup)_WNS,chipfinish_FUNC_Typical_(Setup)_WNS,cts_FUNC_Fast_(Setup)_WNS,cts_FUNC_Slow_(Setup)_WNS,cts_FUNC_Typical_(Setup)_WNS,floorplan_FUNC_Fast_(Setup)_WNS,floorplan_FUNC_Slow_(Setup)_WNS,floorplan_FUNC_Typical_(Setup)_WNS,floorplan.zwlm_FUNC_Fast_(Setup)_WNS,floorplan.zwlm_FUNC_Slow_(Setup)_WNS,floorplan.zwlm_FUNC_Typical_(Setup)_WNS,placement_FUNC_Fast_(Setup)_WNS,placement_FUNC_Slow_(Setup)_WNS,placement_FUNC_Typical_(Setup)_WNS,route_FUNC_Fast_(Setup)_WNS,route_FUNC_Slow_(Setup)_WNS,route_FUNC_Typical_(Setup)_WNS,route.no_si_FUNC_Fast_(Setup)_WNS,route.no_si_FUNC_Slow_(Setup)_WNS,route.no_si_FUNC_Typical_(Setup)_WNS,Frequency
RocketTile_0,3.0,56.0,512.0,64.0,1.0,8.0,4.0,0.0,64.0,4.0,4.0,3.0,47871.0259,47871.0259,47871.0259,47871.0259,47871.0259,136200000.0,57140000.0,83080000.0,132360000.0,56443000.0,81716000.0,96551000.0,47114000.0,66110000.0,131810000.0,50664000.0,77459000.0,136170000.0,57123000.0,83055000.0,-0.2805,-0.5076,-0.348,-0.3034,-0.5191,-0.3736,-0.8741,-1.4828,-1.0741,-0.3705,-0.7744,-0.4908,-0.2595,-0.4245,-0.3141,-0.2802,-0.5047,-0.3474,-0.2701,-0.4866,-0.3372,4000
RocketTile_1,12.0,14.0,0.0,32.0,1.0,20.0,4.0,1.0,64.0,1.0,12.0,2.0,29551.153,29551.153,29551.153,29551.153,29551.153,94080000.0,34995000.0,52931000.0,90845000.0,34469000.0,51814000.0,59396000.0,26906000.0,39278000.0,91862000.0,30087000.0,49001000.0,94050000.0,34981000.0,52911000.0,-0.2302,-0.4453,-0.2863,-0.2373,-0.4554,-0.3028,-0.7639,-1.4415,-0.9866,-0.3805,-0.8254,-0.5182,-0.2336,-0.4163,-0.291,-0.2297,-0.4451,-0.2857,-0.2162,-0.4374,-0.2746,4000
RocketTile_2,6.0,42.0,0.0,64.0,2.0,4.0,8.0,1.0,32.0,4.0,32.0,3.0,48562.7141,48562.7141,48562.7141,48562.7141,48562.7141,139970000.0,60102000.0,86471000.0,136150000.0,59500000.0,85182000.0,103570000.0,51596000.0,72232000.0,136800000.0,54638000.0,81875000.0,139940000.0,60090000.0,86451000.0,-0.2556,-0.4661,-0.3215,-0.2628,-0.4761,-0.3328,-0.9549,-1.6194,-1.1837,-0.3644,-0.7765,-0.4956,-0.2429,-0.4218,-0.2992,-0.2552,-0.466,-0.3199,-0.2371,-0.4607,-0.3036,4000
RocketTile_3,3.0,0.0,512.0,32.0,1.0,16.0,4.0,0.0,32.0,2.0,12.0,2.0,28833.5549,28833.5549,28833.5549,28833.5549,28833.5549,93224000.0,36296000.0,53634000.0,90039000.0,35881000.0,52665000.0,60611000.0,29533000.0,41620000.0,88698000.0,31877000.0,49455000.0,93246000.0,36306000.0,53648000.0,-0.2426,-0.4286,-0.2989,-0.2438,-0.4347,-0.3079,-0.7016,-1.3081,-0.884,-0.3477,-0.7506,-0.469,-0.2321,-0.4188,-0.2885,-0.2423,-0.4282,-0.2985,-0.2273,-0.4253,-0.2883,4000
RocketTile_4,6.0,0.0,1024.0,64.0,4.0,32.0,8.0,0.0,32.0,1.0,4.0,1.0,44554.1184,44554.1184,44554.1184,44554.1184,44554.1184,114430000.0,45673000.0,66851000.0,111200000.0,45229000.0,65867000.0,83361000.0,39419000.0,55608000.0,109840000.0,41382000.0,62581000.0,114400000.0,45662000.0,66833000.0,-0.2344,-0.4279,-0.2928,-0.2187,-0.4116,-0.2846,-0.7111,-1.2762,-0.8981,-0.3712,-0.7573,-0.4901,-0.2261,-0.3949,-0.2844,-0.2337,-0.427,-0.2921,-0.2252,-0.4178,-0.2824,4000
RocketTile_5,3.0,14.0,1024.0,32.0,1.0,20.0,4.0,0.0,32.0,4.0,28.0,1.0,36870.336,36870.336,36870.336,36870.336,36870.336,125450000.0,50198000.0,74439000.0,121780000.0,49658000.0,73235000.0,2796700000.0,1861700000.0,2301700000.0,2834800000.0,1865600000.0,2314100000.0,125410000.0,50186000.0,74415000.0,-0.3041,-0.5064,-0.3661,-0.2873,-0.4987,-0.3573,-188.2262,-373.8091,-228.3231,-0.3551,-0.7708,-0.4833,-0.2506,-0.426,-0.3026,-0.3036,-0.5061,-0.3654,-0.2792,-0.4862,-0.3448,4000
RocketTile_6,0.0,56.0,512.0,64.0,4.0,4.0,4.0,1.0,64.0,2.0,12.0,1.0,53528.1437,53528.1437,53528.1437,53528.1437,53528.1437,134450000.0,55432000.0,80084000.0,130600000.0,54815000.0,78814000.0,95300000.0,45538000.0,63763000.0,129440000.0,49347000.0,74442000.0,134410000.0,55417000.0,80062000.0,-0.2542,-0.4384,-0.3063,-0.2519,-0.4278,-0.3138,-0.7408,-1.3295,-0.9375,-0.3492,-0.7494,-0.4693,-0.2317,-0.425,-0.292,-0.2531,-0.4381,-0.3055,-0.2367,-0.4291,-0.2956,4000
RocketTile_7,3.0,14.0,512.0,64.0,4.0,16.0,4.0,0.0,64.0,2.0,28.0,2.0,53962.128,53962.128,53962.128,53962.128,53962.128,146290000.0,60465000.0,88368000.0,142250000.0,59877000.0,87109000.0,106220000.0,51428000.0,71857000.0,141760000.0,54454000.0,83105000.0,146220000.0,60439000.0,88323000.0,-0.296,-0.4951,-0.3651,-0.3155,-0.5102,-0.3832,-0.8768,-1.5391,-1.0852,-0.3945,-0.8506,-0.5362,-0.2557,-0.4203,-0.3076,-0.2952,-0.4934,-0.3635,-0.2809,-0.4754,-0.3447,4000
RocketTile_8,6.0,28.0,0.0,32.0,1.0,24.0,4.0,0.0,64.0,1.0,16.0,3.0,28044.3557,28044.3557,28044.3557,28044.3557,28044.3557,91516000.0,35142000.0,52968000.0,88194000.0,34745000.0,51973000.0,61870000.0,29388000.0,42368000.0,89074000.0,31755000.0,50137000.0,91518000.0,35141000.0,52966000.0,-0.2562,-0.4295,-0.3081,-0.2458,-0.4321,-0.3121,-0.8169,-1.458,-1.0303,-0.357,-0.7965,-0.4908,-0.2381,-0.4243,-0.2978,-0.2556,-0.4282,-0.3074,-0.235,-0.422,-0.3003,4000
RocketTile_9,3.0,0.0,128.0,32.0,4.0,28.0,8.0,0.0,64.0,1.0,32.0,2.0,40244.9731,40244.9731,40244.9731,40244.9731,40244.9731,122140000.0,51205000.0,74253000.0,118530000.0,50730000.0,73144000.0,89975000.0,44084000.0,61995000.0,116390000.0,46469000.0,69279000.0,122120000.0,51195000.0,74237000.0,-0.2641,-0.4363,-0.317,-0.2451,-0.4355,-0.2986,-0.7948,-1.3676,-0.9805,-0.3657,-0.7601,-0.491,-0.2261,-0.4064,-0.2814,-0.2633,-0.4348,-0.316,-0.237,-0.4288,-0.2916,4000
RocketTile_10,12.0,56.0,128.0,32.0,1.0,16.0,8.0,0.0,32.0,2.0,16.0,1.0,30016.0814,30016.0814,30016.0814,30016.0814,30016.0814,93413000.0,35250000.0,52574000.0,90308000.0,34684000.0,51484000.0,58643000.0,27079000.0,38574000.0,90248000.0,30077000.0,48158000.0,93470000.0,35275000.0,52612000.0,-0.2962,-0.5001,-0.3564,-0.2808,-0.4859,-0.345,-0.6986,-1.2618,-0.8832,-0.3868,-0.7916,-0.5173,-0.2493,-0.4267,-0.3041,-0.2959,-0.5002,-0.3561,-0.2735,-0.4827,-0.3379,4000
