Design,nRAS,nBTBEntries,nBHTEntries,nICacheSets,nICacheWays,nICacheTLBWays,MulDivUnroll,useVM,nDCacheSets,nDCacheWays,nDCacheTLBWays,nMSHRs,chipfinish_Total_Area,cts_Total_Area,floorplan_Total_Area,placement_Total_Area,route_Total_Area,chipfinish_Fast_Total_Power(nW),chipfinish_Slow_Total_Power(nW),chipfinish_Typical_Total_Power(nW),cts_Fast_Total_Power(nW),cts_Slow_Total_Power(nW),cts_Typical_Total_Power(nW),floorplan_Fast_Total_Power(nW),floorplan_Slow_Total_Power(nW),floorplan_Typical_Total_Power(nW),placement_Fast_Total_Power(nW),placement_Slow_Total_Power(nW),placement_Typical_Total_Power(nW),route_Fast_Total_Power(nW),route_Slow_Total_Power(nW),route_Typical_Total_Power(nW),chipfinish_FUNC_Fast_(Setup)_WNS,chipfinish_FUNC_Slow_(Setup)_WNS,chipfinish_FUNC_Typical_(Setup)_WNS,cts_FUNC_Fast_(Setup)_WNS,cts_FUNC_Slow_(Setup)_WNS,cts_FUNC_Typical_(Setup)_WNS,floorplan_FUNC_Fast_(Setup)_WNS,floorplan_FUNC_Slow_(Setup)_WNS,floorplan_FUNC_Typical_(Setup)_WNS,floorplan.zwlm_FUNC_Fast_(Setup)_WNS,floorplan.zwlm_FUNC_Slow_(Setup)_WNS,floorplan.zwlm_FUNC_Typical_(Setup)_WNS,placement_FUNC_Fast_(Setup)_WNS,placement_FUNC_Slow_(Setup)_WNS,placement_FUNC_Typical_(Setup)_WNS,route_FUNC_Fast_(Setup)_WNS,route_FUNC_Slow_(Setup)_WNS,route_FUNC_Typical_(Setup)_WNS,route.no_si_FUNC_Fast_(Setup)_WNS,route.no_si_FUNC_Slow_(Setup)_WNS,route.no_si_FUNC_Typical_(Setup)_WNS,Frequency
RocketTile_106,6.0,28.0,1024.0,64.0,1.0,12.0,8.0,0.0,64.0,4.0,8.0,2.0,45820.6128,45820.6128,45820.6128,45820.6128,45820.6128,44346000.0,19597000.0,27579000.0,44462000.0,19458000.0,27445000.0,1126700000.0,746260000.0,923630000.0,1130300000.0,746330000.0,924450000.0,44337000.0,19594000.0,27573000.0,0.0779,-0.0895,0.0348,0.149,-0.0515,0.0887,-187.8043,-372.9757,-227.8192,0.006,-0.3817,-0.1164,0.1491,-0.0322,0.0933,0.0787,-0.0881,0.0324,0.1579,-0.0596,0.0846,1600
RocketTile_107,0.0,42.0,128.0,64.0,2.0,28.0,8.0,0.0,32.0,1.0,32.0,2.0,32749.236,32749.236,32749.236,32749.236,32749.236,31149000.0,13073000.0,18868000.0,31157000.0,12956000.0,18728000.0,28460000.0,12036000.0,17460000.0,31323000.0,12077000.0,18048000.0,31144000.0,13071000.0,18864000.0,0.1464,-0.0456,0.0877,0.1284,-0.0526,0.0661,-0.4574,-1.1328,-0.6741,0.0136,-0.4002,-0.1095,0.1615,-0.0341,0.1008,0.1465,-0.0441,0.0882,0.1526,-0.0421,0.0914,1600
RocketTile_108,12.0,14.0,0.0,64.0,4.0,8.0,8.0,0.0,32.0,2.0,4.0,3.0,50488.0646,50488.0646,50488.0646,50488.0646,50488.0646,50005000.0,22357000.0,31675000.0,49889000.0,22212000.0,31492000.0,46572000.0,21079000.0,29864000.0,49672000.0,21164000.0,30561000.0,49995000.0,22352000.0,31668000.0,0.1092,-0.0722,0.0578,0.1169,-0.0691,0.0555,-0.5566,-1.2575,-0.7894,0.0206,-0.4144,-0.1166,0.1482,-0.0379,0.0954,0.1099,-0.0703,0.0589,0.1295,-0.0607,0.0679,1600
RocketTile_109,0.0,56.0,128.0,32.0,2.0,24.0,4.0,1.0,32.0,2.0,32.0,3.0,37455.5938,37455.5938,37455.5938,37455.5938,37455.5938,41732000.0,18569000.0,26532000.0,41621000.0,18383000.0,26295000.0,37972000.0,16997000.0,24435000.0,41610000.0,17089000.0,25252000.0,41722000.0,18564000.0,26525000.0,0.0994,-0.0904,0.0237,0.1329,-0.071,0.0669,-0.5898,-1.3038,-0.8247,0.0029,-0.417,-0.1293,0.1553,-0.0483,0.0985,0.0969,-0.0869,0.0214,0.146,-0.0586,0.0814,1600
RocketTile_110,3.0,42.0,1024.0,32.0,1.0,20.0,8.0,0.0,64.0,1.0,8.0,1.0,27420.876,27420.876,27420.876,27420.876,27420.876,29639000.0,12269000.0,17629000.0,29640000.0,12119000.0,17468000.0,1112200000.0,739050000.0,913830000.0,1115700000.0,739070000.0,914580000.0,29627000.0,12264000.0,17622000.0,0.1048,-0.0917,0.0452,0.0989,-0.0967,0.0328,-187.6698,-373.3888,-227.8139,0.0313,-0.3805,-0.0913,0.1586,-0.0389,0.0957,0.1052,-0.0897,0.0463,0.1175,-0.0817,0.0538,1600
RocketTile_111,3.0,28.0,0.0,32.0,2.0,32.0,4.0,1.0,32.0,2.0,20.0,3.0,37636.9632,37636.9632,37636.9632,37636.9632,37636.9632,41657000.0,18509000.0,26504000.0,41543000.0,18325000.0,26256000.0,38166000.0,17029000.0,24511000.0,41775000.0,17115000.0,25317000.0,41650000.0,18506000.0,26500000.0,0.098,-0.0975,0.038,0.1096,-0.0995,0.043,-0.4444,-1.0541,-0.6455,0.0109,-0.393,-0.1145,0.1574,-0.0471,0.0981,0.1013,-0.0972,0.042,0.1404,-0.0908,0.0729,1600
RocketTile_112,0.0,56.0,128.0,32.0,2.0,20.0,8.0,1.0,64.0,4.0,8.0,1.0,47487.1651,47487.1651,47487.1651,47487.1651,47487.1651,42102000.0,18167000.0,25614000.0,41910000.0,17982000.0,25367000.0,37643000.0,16609000.0,23398000.0,41775000.0,16703000.0,24299000.0,42090000.0,18161000.0,25606000.0,0.1161,-0.0737,0.0591,0.1182,-0.0651,0.0561,-0.7246,-1.5222,-0.9874,0.0058,-0.4341,-0.1224,0.1503,-0.0505,0.0889,0.1173,-0.0731,0.0595,0.1457,-0.046,0.0884,1600
RocketTile_113,6.0,14.0,0.0,64.0,2.0,16.0,4.0,0.0,64.0,2.0,4.0,2.0,39311.5867,39311.5867,39311.5867,39311.5867,39311.5867,35265000.0,14882000.0,21366000.0,35337000.0,14757000.0,21234000.0,32215000.0,13820000.0,19842000.0,35241000.0,13858000.0,20466000.0,35256000.0,14878000.0,21360000.0,0.1415,-0.0674,0.087,0.1438,-0.0622,0.0805,-0.4545,-1.1165,-0.6731,0.0112,-0.3928,-0.1094,0.1567,-0.0476,0.0975,0.142,-0.0673,0.0877,0.1631,-0.0581,0.1023,1600
RocketTile_114,3.0,28.0,0.0,64.0,2.0,24.0,4.0,1.0,64.0,4.0,32.0,1.0,51120.9835,51120.9835,51120.9835,51120.9835,51120.9835,43256000.0,18267000.0,25936000.0,43220000.0,18072000.0,25703000.0,38803000.0,16592000.0,23580000.0,42885000.0,16698000.0,24491000.0,43247000.0,18263000.0,25930000.0,0.1035,-0.0707,0.0511,0.1212,-0.07,0.066,-0.4241,-1.1208,-0.652,0.0092,-0.4006,-0.1214,0.1502,-0.0317,0.0924,0.1057,-0.0684,0.0532,0.1491,-0.0536,0.0943,1600
RocketTile_115,0.0,28.0,256.0,32.0,4.0,32.0,4.0,0.0,64.0,2.0,32.0,1.0,43376.5987,43376.5987,43376.5987,43376.5987,43376.5987,41896000.0,18669000.0,26181000.0,41894000.0,18522000.0,26003000.0,38392000.0,17526000.0,24459000.0,41541000.0,17610000.0,25143000.0,41883000.0,18663000.0,26173000.0,0.1164,-0.0498,0.066,0.1149,-0.0669,0.0621,-0.5798,-1.3188,-0.8231,0.0129,-0.4131,-0.1204,0.1455,-0.0332,0.0999,0.1178,-0.0486,0.0676,0.1352,-0.0399,0.0876,1600
