Design,nRAS,nBTBEntries,nBHTEntries,nICacheSets,nICacheWays,nICacheTLBWays,MulDivUnroll,useVM,nDCacheSets,nDCacheWays,nDCacheTLBWays,nMSHRs,chipfinish_Total_Area,cts_Total_Area,floorplan_Total_Area,placement_Total_Area,route_Total_Area,chipfinish_Fast_Total_Power(nW),chipfinish_Slow_Total_Power(nW),chipfinish_Typical_Total_Power(nW),cts_Fast_Total_Power(nW),cts_Slow_Total_Power(nW),cts_Typical_Total_Power(nW),floorplan_Fast_Total_Power(nW),floorplan_Slow_Total_Power(nW),floorplan_Typical_Total_Power(nW),placement_Fast_Total_Power(nW),placement_Slow_Total_Power(nW),placement_Typical_Total_Power(nW),route_Fast_Total_Power(nW),route_Slow_Total_Power(nW),route_Typical_Total_Power(nW),chipfinish_FUNC_Fast_(Setup)_WNS,chipfinish_FUNC_Slow_(Setup)_WNS,chipfinish_FUNC_Typical_(Setup)_WNS,cts_FUNC_Fast_(Setup)_WNS,cts_FUNC_Slow_(Setup)_WNS,cts_FUNC_Typical_(Setup)_WNS,floorplan_FUNC_Fast_(Setup)_WNS,floorplan_FUNC_Slow_(Setup)_WNS,floorplan_FUNC_Typical_(Setup)_WNS,floorplan.zwlm_FUNC_Fast_(Setup)_WNS,floorplan.zwlm_FUNC_Slow_(Setup)_WNS,floorplan.zwlm_FUNC_Typical_(Setup)_WNS,placement_FUNC_Fast_(Setup)_WNS,placement_FUNC_Slow_(Setup)_WNS,placement_FUNC_Typical_(Setup)_WNS,route_FUNC_Fast_(Setup)_WNS,route_FUNC_Slow_(Setup)_WNS,route_FUNC_Typical_(Setup)_WNS,route.no_si_FUNC_Fast_(Setup)_WNS,route.no_si_FUNC_Slow_(Setup)_WNS,route.no_si_FUNC_Typical_(Setup)_WNS,Frequency
RocketTile_20,12.0,56.0,1024.0,32.0,1.0,32.0,4.0,0.0,64.0,4.0,12.0,2.0,43424.0957,43424.0957,43424.0957,43424.0957,43424.0957,22214000.0,9676100.0,13584000.0,22029000.0,9582300.0,13445000.0,565440000.0,373160000.0,462080000.0,564810000.0,373300000.0,462010000.0,22204000.0,9671800.0,13577000.0,0.3745,-0.0511,0.2633,0.4264,-0.0,0.2979,-187.4995,-373.5355,-227.6846,0.3731,-0.4674,0.1354,0.4169,-0.0001,0.2912,0.3774,-0.0441,0.2664,0.4688,-0.0264,0.3425,800
RocketTile_21,12.0,14.0,0.0,64.0,4.0,24.0,8.0,1.0,64.0,4.0,8.0,2.0,64033.5355,64033.5355,64033.5355,64033.5355,64033.5355,30154000.0,12648000.0,17922000.0,29897000.0,12554000.0,17771000.0,30239000.0,11823000.0,17141000.0,29839000.0,11879000.0,17139000.0,30144000.0,12644000.0,17916000.0,0.3533,-0.0704,0.2269,0.3946,-0.0003,0.2687,-0.3179,-1.568,-0.6887,0.3783,-0.4404,0.1671,0.4116,0.0,0.293,0.3531,-0.053,0.2298,0.4278,-0.0204,0.3009,800
RocketTile_22,12.0,42.0,512.0,64.0,2.0,12.0,8.0,0.0,64.0,4.0,20.0,2.0,50724.2635,50724.2635,50724.2635,50724.2635,50724.2635,24112000.0,10133000.0,14343000.0,23961000.0,10048000.0,14218000.0,24263000.0,9511400.0,13760000.0,23778000.0,9534100.0,13720000.0,24104000.0,10130000.0,14338000.0,0.2686,-0.0817,0.1607,0.3883,0.0,0.274,-0.3313,-1.544,-0.7049,0.3854,-0.4475,0.1647,0.4097,-0.001,0.2846,0.2708,-0.0744,0.1645,0.4354,-0.0355,0.326,800
RocketTile_23,9.0,42.0,512.0,64.0,4.0,12.0,4.0,1.0,64.0,1.0,16.0,2.0,50647.2725,50647.2725,50647.2725,50647.2725,50647.2725,25605000.0,10677000.0,15294000.0,25344000.0,10573000.0,15118000.0,26011000.0,9859400.0,14550000.0,25445000.0,9888300.0,14496000.0,25596000.0,10674000.0,15288000.0,0.3932,-0.0595,0.2705,0.4181,0.0,0.285,-0.4429,-1.7003,-0.8256,0.3935,-0.447,0.157,0.4244,-0.0002,0.2926,0.3948,-0.048,0.2727,0.4452,-0.0274,0.314,800
RocketTile_24,3.0,28.0,0.0,32.0,4.0,12.0,4.0,0.0,64.0,1.0,20.0,1.0,37072.2254,37072.2254,37072.2254,37072.2254,37072.2254,18896000.0,8354500.0,11674000.0,18790000.0,8300800.0,11596000.0,19361000.0,7893100.0,11307000.0,18926000.0,7924100.0,11279000.0,18890000.0,8351900.0,11670000.0,0.3613,-0.0572,0.2644,0.4352,-0.0,0.3029,-0.2623,-1.4157,-0.6235,0.3968,-0.4382,0.1592,0.4252,-0.0001,0.3013,0.362,-0.0513,0.2466,0.4671,-0.0202,0.3439,800
RocketTile_25,0.0,28.0,256.0,64.0,4.0,32.0,8.0,1.0,64.0,1.0,16.0,1.0,47332.9915,47332.9915,47332.9915,47332.9915,47332.9915,22007000.0,8900500.0,12780000.0,21732000.0,8801900.0,12609000.0,22264000.0,8201900.0,12134000.0,21783000.0,8244100.0,12101000.0,22002000.0,8898700.0,12777000.0,0.3754,-0.0545,0.2633,0.4049,-0.0,0.2824,-0.233,-1.4845,-0.6186,0.3954,-0.4245,0.1627,0.4437,0.0,0.3075,0.377,-0.0507,0.2653,0.4532,-0.0275,0.3355,800
RocketTile_26,0.0,56.0,1024.0,64.0,2.0,8.0,4.0,1.0,64.0,4.0,24.0,1.0,49416.6197,49416.6197,49416.6197,49416.6197,49416.6197,21369000.0,8834200.0,12502000.0,21131000.0,8751500.0,12363000.0,21702000.0,8246300.0,11977000.0,21270000.0,8278500.0,11945000.0,21363000.0,8832100.0,12498000.0,0.3608,-0.0571,0.2471,0.4166,-0.0,0.2829,-0.2611,-1.4233,-0.6177,0.3914,-0.4445,0.1552,0.4343,-0.0003,0.2975,0.3622,-0.0478,0.2475,0.4389,-0.0328,0.312,800
RocketTile_27,12.0,42.0,256.0,64.0,2.0,8.0,4.0,0.0,32.0,1.0,4.0,1.0,32202.1181,32202.1181,32202.1181,32202.1181,32202.1181,15091000.0,6127000.0,8792600.0,14955000.0,6055200.0,8687700.0,15527000.0,5636100.0,8391300.0,15001000.0,5656900.0,8340000.0,15086000.0,6125200.0,8789700.0,0.4124,-0.0519,0.2907,0.4497,0.0,0.3077,-0.2751,-1.4689,-0.6431,0.3838,-0.4448,0.1551,0.4236,-0.0001,0.2846,0.4143,-0.0465,0.2947,0.4741,-0.0215,0.3252,800
RocketTile_28,12.0,42.0,256.0,32.0,2.0,16.0,4.0,1.0,32.0,2.0,24.0,1.0,35073.6048,35073.6048,35073.6048,35073.6048,35073.6048,17702000.0,7670100.0,10807000.0,17458000.0,7570500.0,10643000.0,18134000.0,6979500.0,10218000.0,17637000.0,7023200.0,10189000.0,17695000.0,7667400.0,10803000.0,0.3868,-0.0688,0.2768,0.4507,-0.0,0.3108,-0.3119,-1.4168,-0.6607,0.383,-0.4512,0.155,0.4395,-0.0015,0.3028,0.3878,-0.0606,0.2788,0.4835,-0.0238,0.3395,800
RocketTile_29,3.0,42.0,256.0,64.0,2.0,8.0,4.0,0.0,32.0,2.0,32.0,2.0,37072.2254,37072.2254,37072.2254,37072.2254,37072.2254,18458000.0,7917800.0,11235000.0,18289000.0,7846500.0,11120000.0,19086000.0,7424200.0,10877000.0,18540000.0,7443800.0,10809000.0,18452000.0,7915400.0,11232000.0,0.4086,-0.0535,0.2902,0.4218,-0.0,0.3013,-0.2779,-1.4615,-0.6312,0.3691,-0.4703,0.1244,0.4365,-0.0,0.3089,0.4061,-0.0482,0.2931,0.459,-0.0243,0.3375,800
RocketTile_30,3.0,42.0,256.0,64.0,4.0,16.0,8.0,0.0,32.0,1.0,4.0,1.0,44751.9038,44751.9038,44751.9038,44751.9038,44751.9038,21568000.0,8882600.0,12643000.0,21427000.0,8803700.0,12529000.0,21869000.0,8306700.0,12140000.0,21423000.0,8323600.0,12096000.0,21561000.0,8879700.0,12638000.0,0.3702,-0.0565,0.2567,0.3754,-0.0001,0.2551,-0.2366,-1.4795,-0.6067,0.4078,-0.4236,0.1727,0.3958,-0.0001,0.2748,0.3748,-0.0453,0.263,0.4419,-0.0252,0.3167,800
RocketTile_31,0.0,42.0,0.0,32.0,4.0,4.0,8.0,1.0,32.0,4.0,24.0,3.0,52236.697,52236.697,52236.697,52236.697,52236.697,29835000.0,13734000.0,19164000.0,29595000.0,13649000.0,19016000.0,29934000.0,12999000.0,18443000.0,29532000.0,13050000.0,18434000.0,29826000.0,13730000.0,19159000.0,0.3425,-0.0623,0.2273,0.3574,-0.0001,0.2531,-0.2566,-1.4895,-0.628,0.3809,-0.4511,0.1427,0.4248,-0.0012,0.3066,0.345,-0.0589,0.2295,0.4135,-0.0283,0.2956,800
RocketTile_32,9.0,56.0,128.0,32.0,4.0,28.0,8.0,1.0,32.0,4.0,12.0,3.0,55108.2658,55108.2658,55108.2658,55108.2658,55108.2658,31199000.0,14232000.0,19916000.0,30938000.0,14127000.0,19745000.0,31538000.0,13404000.0,19166000.0,31042000.0,13460000.0,19147000.0,31189000.0,14228000.0,19910000.0,0.3926,-0.0762,0.2607,0.4071,0.0,0.2835,-0.389,-1.782,-0.7909,0.3739,-0.478,0.1297,0.4181,-0.0019,0.2887,0.3969,-0.0535,0.2701,0.4587,-0.0247,0.3327,800
RocketTile_33,12.0,28.0,512.0,64.0,1.0,32.0,8.0,0.0,32.0,4.0,16.0,1.0,37006.3973,37006.3973,37006.3973,37006.3973,37006.3973,18283000.0,8168600.0,11313000.0,18094000.0,8089700.0,11189000.0,18709000.0,7603900.0,10838000.0,18190000.0,7588100.0,10748000.0,18276000.0,8165600.0,11308000.0,0.4123,-0.0596,0.2866,0.4106,0.0001,0.2806,-0.3619,-1.5627,-0.7285,0.3915,-0.4459,0.154,0.4092,-0.0003,0.279,0.4159,-0.0533,0.2903,0.4691,-0.0225,0.3326,800
RocketTile_34,12.0,0.0,128.0,64.0,4.0,20.0,8.0,1.0,32.0,1.0,24.0,3.0,48718.8576,48718.8576,48718.8576,48718.8576,48718.8576,25472000.0,10825000.0,15531000.0,25253000.0,10731000.0,15386000.0,25834000.0,10129000.0,14913000.0,25352000.0,10204000.0,14919000.0,25465000.0,10822000.0,15526000.0,0.3538,-0.0604,0.2346,0.424,-0.0,0.2958,-0.2014,-1.4309,-0.5744,0.3876,-0.4348,0.1692,0.4409,-0.0028,0.2993,0.3542,-0.0553,0.239,0.4484,-0.0266,0.3253,800
RocketTile_35,9.0,42.0,0.0,32.0,1.0,20.0,4.0,0.0,32.0,1.0,8.0,3.0,24813.3312,24813.3312,24813.3312,24813.3312,24813.3312,13851000.0,6228600.0,8900600.0,13696000.0,6167000.0,8802700.0,14420000.0,5799500.0,8589100.0,13896000.0,5818500.0,8534300.0,13848000.0,6227300.0,8898500.0,0.4368,-0.0589,0.3083,0.4732,-0.0,0.3308,-0.2573,-1.4031,-0.6182,0.3608,-0.4554,0.1339,0.4333,-0.0002,0.3114,0.4383,-0.0533,0.3099,0.5025,-0.0244,0.3622,800
RocketTile_36,9.0,0.0,0.0,64.0,1.0,28.0,8.0,1.0,32.0,4.0,12.0,2.0,39497.3885,39497.3885,39497.3885,39497.3885,39497.3885,20014000.0,8814000.0,12458000.0,19753000.0,8718600.0,12298000.0,20283000.0,8202400.0,11876000.0,19803000.0,8241200.0,11840000.0,20003000.0,8808800.0,12451000.0,0.3595,-0.056,0.236,0.4231,-0.0,0.279,-0.3562,-1.7253,-0.7547,0.3789,-0.44,0.158,0.4525,-0.0008,0.3137,0.362,-0.0504,0.2384,0.4502,-0.0252,0.3182,800
RocketTile_37,12.0,56.0,1024.0,64.0,2.0,4.0,8.0,0.0,32.0,4.0,4.0,2.0,45869.423,45869.423,45869.423,45869.423,45869.423,24450000.0,10898000.0,15231000.0,24206000.0,10811000.0,15080000.0,567770000.0,374320000.0,463650000.0,567220000.0,374480000.0,463610000.0,24443000.0,10895000.0,15227000.0,0.3846,-0.0684,0.259,0.415,-0.0021,0.2889,-187.5064,-373.5847,-227.7085,0.39,-0.4693,0.1449,0.4204,0.0,0.2839,0.3848,-0.0548,0.26,0.4502,-0.0285,0.3215,800
RocketTile_38,0.0,28.0,0.0,32.0,1.0,24.0,8.0,0.0,64.0,2.0,12.0,3.0,31533.768,31533.768,31533.768,31533.768,31533.768,16149000.0,7136800.0,10148000.0,16007000.0,7075300.0,10054000.0,16705000.0,6693000.0,9825200.0,16174000.0,6716700.0,9771000.0,16144000.0,7134900.0,10145000.0,0.3802,-0.0664,0.262,0.457,0.0,0.3161,-0.3897,-1.6462,-0.7727,0.3673,-0.4483,0.1412,0.449,-0.0,0.3017,0.3835,-0.0584,0.2627,0.4894,-0.0211,0.3588,800
RocketTile_39,3.0,56.0,0.0,64.0,1.0,32.0,8.0,0.0,32.0,2.0,32.0,2.0,29050.9848,29050.9848,29050.9848,29050.9848,29050.9848,14348000.0,6248200.0,8874200.0,14194000.0,6187100.0,8773500.0,14760000.0,5809600.0,8506900.0,14266000.0,5828400.0,8456600.0,14344000.0,6246800.0,8871800.0,0.4453,-0.0602,0.3154,0.4715,0.0,0.334,-0.2383,-1.378,-0.5903,0.3612,-0.4483,0.135,0.4385,-0.0002,0.298,0.4509,-0.0564,0.3192,0.5014,-0.0274,0.3637,800
RocketTile_40,9.0,42.0,256.0,64.0,2.0,32.0,4.0,1.0,64.0,4.0,16.0,2.0,53554.5187,53554.5187,53554.5187,53554.5187,53554.5187,24791000.0,10424000.0,14789000.0,24544000.0,10319000.0,14621000.0,25326000.0,9667400.0,14174000.0,24847000.0,9705500.0,14141000.0,24783000.0,10421000.0,14784000.0,0.3627,-0.0504,0.2398,0.3781,-0.0,0.2633,-0.3142,-1.5008,-0.6695,0.373,-0.4689,0.1347,0.4298,-0.0019,0.291,0.3659,-0.0457,0.2404,0.4579,-0.0231,0.3362,800
RocketTile_41,3.0,0.0,256.0,32.0,2.0,4.0,8.0,0.0,64.0,2.0,12.0,3.0,36089.9194,36089.9194,36089.9194,36089.9194,36089.9194,18820000.0,8338100.0,11821000.0,18671000.0,8277900.0,11723000.0,19252000.0,7862400.0,11426000.0,18784000.0,7901300.0,11401000.0,18815000.0,8336000.0,11818000.0,0.4518,-0.0597,0.3166,0.4408,-0.0,0.31,-0.2836,-1.3406,-0.6005,0.3719,-0.4273,0.1485,0.4476,-0.0001,0.3061,0.4541,-0.057,0.3217,0.4768,-0.0263,0.3363,800
