Design,nRAS,nBTBEntries,nBHTEntries,nICacheSets,nICacheWays,nICacheTLBWays,MulDivUnroll,useVM,nDCacheSets,nDCacheWays,nDCacheTLBWays,nMSHRs,chipfinish_Total_Area,cts_Total_Area,floorplan_Total_Area,placement_Total_Area,route_Total_Area,chipfinish_Fast_Total_Power(nW),chipfinish_Slow_Total_Power(nW),chipfinish_Typical_Total_Power(nW),cts_Fast_Total_Power(nW),cts_Slow_Total_Power(nW),cts_Typical_Total_Power(nW),floorplan_Fast_Total_Power(nW),floorplan_Slow_Total_Power(nW),floorplan_Typical_Total_Power(nW),placement_Fast_Total_Power(nW),placement_Slow_Total_Power(nW),placement_Typical_Total_Power(nW),route_Fast_Total_Power(nW),route_Slow_Total_Power(nW),route_Typical_Total_Power(nW),chipfinish_FUNC_Fast_(Setup)_WNS,chipfinish_FUNC_Slow_(Setup)_WNS,chipfinish_FUNC_Typical_(Setup)_WNS,cts_FUNC_Fast_(Setup)_WNS,cts_FUNC_Slow_(Setup)_WNS,cts_FUNC_Typical_(Setup)_WNS,floorplan_FUNC_Fast_(Setup)_WNS,floorplan_FUNC_Slow_(Setup)_WNS,floorplan_FUNC_Typical_(Setup)_WNS,placement_FUNC_Fast_(Setup)_WNS,placement_FUNC_Slow_(Setup)_WNS,placement_FUNC_Typical_(Setup)_WNS,route_FUNC_Fast_(Setup)_WNS,route_FUNC_Slow_(Setup)_WNS,route_FUNC_Typical_(Setup)_WNS,Frequency
RocketTile_0,3.0,56.0,512.0,64.0,1.0,8.0,4.0,0.0,64.0,4.0,4.0,3.0,45420.7738,45420.7738,45420.7738,45420.7738,45420.7738,7131700.0,1231100.0,2274600.0,7086000.0,1219400.0,2251100.0,8296700.0,1165000.0,2362400.0,7045000.0,1229800.0,2184800.0,7128100.0,1230300.0,2272900.0,6.4842,2.1352,5.4373,6.5486,2.3309,5.426,6.6735,2.6978,5.6019,6.4854,2.5746,5.3596,6.5008,2.1735,5.457,100
RocketTile_1,12.0,14.0,0.0,32.0,1.0,20.0,4.0,1.0,64.0,1.0,12.0,2.0,27284.9242,27284.9242,27284.9242,27284.9242,27284.9242,4168000.0,734040.0,1363100.0,4137900.0,723160.0,1344100.0,5406100.0,666620.0,1466900.0,4091600.0,741050.0,1275800.0,4166100.0,733480.0,1362000.0,6.511,2.0168,5.3537,6.4778,2.252,5.3435,6.7448,2.859,5.6912,6.4431,2.5323,5.3108,6.5302,2.0563,5.3765,100
RocketTile_2,6.0,42.0,0.0,64.0,2.0,4.0,8.0,1.0,32.0,4.0,32.0,3.0,46222.2029,46222.2029,46222.2029,46222.2029,46222.2029,7514000.0,1371400.0,2483200.0,7472400.0,1359900.0,2462300.0,8670500.0,1287000.0,2560800.0,7412000.0,1362800.0,2382600.0,7510700.0,1370800.0,2481700.0,6.5566,2.0354,5.4026,6.492,2.2324,5.3564,6.7231,2.7992,5.6699,6.4784,2.5239,5.3441,6.5737,2.0752,5.4246,100
RocketTile_3,3.0,0.0,512.0,32.0,1.0,16.0,4.0,0.0,32.0,2.0,12.0,2.0,26651.376,26651.376,26651.376,26651.376,26651.376,4121600.0,779270.0,1394400.0,4099700.0,772170.0,1381600.0,5180000.0,729180.0,1491200.0,4062100.0,777960.0,1329600.0,4119900.0,778980.0,1393600.0,6.6392,2.204,5.5023,6.5695,2.3782,5.4523,6.6744,2.6969,5.6015,6.5159,2.6464,5.3971,6.6577,2.2438,5.5247,100
RocketTile_4,6.0,0.0,1024.0,64.0,4.0,32.0,8.0,0.0,32.0,1.0,4.0,1.0,42360.421,42360.421,42360.421,42360.421,42360.421,6770700.0,1039200.0,1989600.0,6753500.0,1032400.0,1978600.0,7827500.0,980090.0,2078900.0,6716700.0,1025000.0,1919900.0,6767200.0,1038400.0,1987900.0,6.6275,2.1688,5.4936,6.5504,2.3117,5.426,6.704,2.7543,5.638,6.5234,2.6112,5.4004,6.6436,2.201,5.513,100
RocketTile_5,3.0,14.0,1024.0,32.0,1.0,20.0,4.0,0.0,32.0,4.0,28.0,1.0,34507.3349,34507.3349,34507.3349,34507.3349,34507.3349,5440700.0,1085000.0,1874100.0,5422700.0,1076500.0,1862200.0,74443000.0,46532000.0,58098000.0,73201000.0,47347000.0,57914000.0,5439400.0,1084700.0,1873400.0,6.4578,1.8868,5.2863,6.4013,2.1042,5.2534,-178.7589,-364.8503,-218.9683,6.3633,2.3039,5.2012,6.471,1.913,5.3036,100
RocketTile_6,0.0,56.0,512.0,64.0,4.0,4.0,4.0,1.0,64.0,2.0,12.0,1.0,51281.1763,51281.1763,51281.1763,51281.1763,51281.1763,8125300.0,1220300.0,2355700.0,8093200.0,1210000.0,2338000.0,9240300.0,1136100.0,2428100.0,8009700.0,1205800.0,2255600.0,8121200.0,1219300.0,2353800.0,6.533,1.9905,5.3706,6.4583,2.1728,5.3183,6.7287,2.8003,5.67,6.4508,2.543,5.3214,6.5496,2.0312,5.3949,100
RocketTile_7,3.0,14.0,512.0,64.0,4.0,16.0,4.0,0.0,64.0,2.0,28.0,2.0,51571.0008,51571.0008,51571.0008,51571.0008,51571.0008,8389300.0,1358600.0,2551400.0,8365100.0,1348900.0,2536100.0,9557100.0,1279900.0,2636100.0,8292500.0,1332000.0,2457400.0,8385000.0,1357600.0,2549300.0,6.5056,1.9333,5.3433,6.4285,2.1131,5.282,6.668,2.7146,5.5929,6.439,2.4894,5.3036,6.5233,1.9693,5.3633,100
RocketTile_8,6.0,28.0,0.0,32.0,1.0,24.0,4.0,0.0,64.0,1.0,16.0,3.0,25819.4952,25819.4952,25819.4952,25819.4952,25819.4952,4062300.0,779750.0,1399700.0,4041400.0,772290.0,1387100.0,5153000.0,726430.0,1502100.0,4017700.0,780090.0,1340400.0,4060600.0,779450.0,1398900.0,6.5351,2.0056,5.3765,6.4583,2.1667,5.3136,6.6989,2.7691,5.6333,6.4359,2.4737,5.2985,6.5535,2.0432,5.4005,100
RocketTile_9,3.0,0.0,128.0,32.0,4.0,28.0,8.0,0.0,64.0,1.0,32.0,2.0,38001.0154,38001.0154,38001.0154,38001.0154,38001.0154,6200800.0,1153800.0,2070900.0,6173700.0,1145800.0,2056300.0,7300600.0,1095100.0,2163100.0,6134400.0,1145500.0,1997700.0,6197900.0,1153200.0,2069500.0,6.5961,2.1334,5.4556,6.5379,2.3163,5.4121,6.6972,2.7437,5.6385,6.4943,2.6213,5.3699,6.6081,2.1599,5.4707,100
RocketTile_10,12.0,56.0,128.0,32.0,1.0,16.0,8.0,0.0,32.0,2.0,16.0,1.0,27595.0224,27595.0224,27595.0224,27595.0224,27595.0224,4138100.0,727140.0,1329800.0,4102100.0,716720.0,1310600.0,5318400.0,664560.0,1431500.0,4054500.0,732970.0,1251200.0,4136400.0,726720.0,1328900.0,6.5147,1.9692,5.3526,6.441,2.1485,5.2977,6.7197,2.8087,5.6634,6.3993,2.4262,5.2573,6.5298,2.0008,5.3713,100
RocketTile_11,0.0,14.0,1024.0,32.0,2.0,24.0,4.0,0.0,64.0,1.0,16.0,1.0,27557.1562,27557.1562,27557.1562,27557.1562,27557.1562,4148200.0,701100.0,1297100.0,4119400.0,693200.0,1282200.0,5201800.0,649690.0,1393000.0,4107100.0,696440.0,1236000.0,4146200.0,700720.0,1296200.0,6.5609,2.0332,5.4007,6.4771,2.2091,5.3375,6.6491,2.647,5.5721,6.4283,2.4822,5.2909,6.581,2.076,5.4266,100
RocketTile_12,3.0,0.0,512.0,64.0,1.0,12.0,8.0,1.0,32.0,2.0,32.0,1.0,29692.6315,29692.6315,29692.6315,29692.6315,29692.6315,4440500.0,728810.0,1361400.0,4405800.0,717730.0,1342500.0,5652300.0,661590.0,1471400.0,4371400.0,731650.0,1284900.0,4438500.0,728240.0,1360300.0,6.4716,1.8904,5.296,6.4344,2.147,5.2889,6.7155,2.7957,5.6662,6.411,2.4339,5.2669,6.4866,1.9224,5.3145,100
RocketTile_13,9.0,42.0,128.0,64.0,2.0,24.0,8.0,0.0,32.0,4.0,12.0,1.0,42623.8704,42623.8704,42623.8704,42623.8704,42623.8704,6570400.0,1103300.0,2031100.0,6546400.0,1094200.0,2015900.0,7775500.0,1037100.0,2138200.0,6549500.0,1100500.0,1963800.0,6567100.0,1102600.0,2029600.0,6.6148,2.1754,5.4762,6.5467,2.3469,5.4256,6.663,2.6669,5.5881,6.5025,2.5862,5.3734,6.6285,2.2183,5.4986,100
RocketTile_14,0.0,28.0,512.0,32.0,2.0,8.0,8.0,1.0,64.0,2.0,32.0,1.0,35206.3282,35206.3282,35206.3282,35206.3282,35206.3282,5315200.0,878360.0,1637300.0,5285200.0,868400.0,1619700.0,6434300.0,804150.0,1719800.0,5232100.0,875160.0,1549500.0,5312400.0,877810.0,1636000.0,6.6113,2.154,5.4733,6.5256,2.3056,5.4048,6.6808,2.7115,5.6116,6.4671,2.5768,5.3389,6.6269,2.188,5.4928,100
RocketTile_15,3.0,0.0,1024.0,64.0,1.0,24.0,8.0,0.0,64.0,1.0,4.0,3.0,27595.0224,27595.0224,27595.0224,27595.0224,27595.0224,4340300.0,773940.0,1423900.0,4320100.0,766870.0,1411800.0,5373600.0,725150.0,1522900.0,4304500.0,777340.0,1371200.0,4338500.0,773620.0,1423100.0,6.5593,2.0346,5.4015,6.482,2.205,5.3443,6.6919,2.7773,5.6406,6.4642,2.5247,5.3333,6.5752,2.0683,5.4224,100
RocketTile_16,12.0,42.0,128.0,32.0,4.0,32.0,8.0,0.0,64.0,1.0,8.0,3.0,41258.7432,41258.7432,41258.7432,41258.7432,41258.7432,6845900.0,1318100.0,2350600.0,6819100.0,1309000.0,2333800.0,8042400.0,1250200.0,2447800.0,6798500.0,1321400.0,2273200.0,6842900.0,1317500.0,2349300.0,6.4715,1.8733,5.2995,6.4142,2.0933,5.2628,6.7015,2.7336,5.6333,6.41,2.4491,5.2686,6.4903,1.9147,5.3233,100
RocketTile_17,9.0,0.0,0.0,64.0,1.0,8.0,8.0,0.0,64.0,1.0,24.0,1.0,24831.2794,24831.2794,24831.2794,24831.2794,24831.2794,3610600.0,543510.0,1054500.0,3590100.0,536910.0,1042400.0,4676700.0,498210.0,1157700.0,3568100.0,543450.0,997400.0,3609400.0,543310.0,1053900.0,6.5897,2.102,5.4417,6.4807,2.1724,5.3342,6.7588,2.8873,5.7145,6.4461,2.5238,5.3115,6.6069,2.1404,5.4639,100
RocketTile_18,3.0,42.0,512.0,64.0,2.0,20.0,4.0,1.0,32.0,1.0,32.0,2.0,36089.9194,36089.9194,36089.9194,36089.9194,36089.9194,5773000.0,989040.0,1833400.0,5738400.0,976040.0,1811900.0,7129400.0,902150.0,1941300.0,5704200.0,985200.0,1736500.0,5770400.0,988530.0,1832200.0,6.552,2.0062,5.3966,6.4723,2.1738,5.3314,6.7097,2.7818,5.6524,6.431,2.4262,5.2887,6.5731,2.0533,5.4229,100
RocketTile_19,12.0,42.0,512.0,64.0,2.0,16.0,4.0,0.0,32.0,1.0,24.0,1.0,31907.7792,31907.7792,31907.7792,31907.7792,31907.7792,5001000.0,801290.0,1520800.0,4980300.0,791710.0,1505200.0,6212000.0,740600.0,1623700.0,4894000.0,795990.0,1433400.0,4998600.0,800820.0,1519800.0,6.602,2.1333,5.4575,6.5386,2.326,5.4137,6.6501,2.6573,5.5694,6.4821,2.5669,5.3524,6.621,2.1764,5.4836,100
RocketTile_20,12.0,56.0,1024.0,32.0,1.0,32.0,4.0,0.0,64.0,4.0,12.0,2.0,42963.9552,42963.9552,42963.9552,42963.9552,42963.9552,6722700.0,1205900.0,2177900.0,6696500.0,1193800.0,2158500.0,75790000.0,46644000.0,58400000.0,74470000.0,47480000.0,58211000.0,6719400.0,1205100.0,2176200.0,6.4933,1.9298,5.3246,6.4405,2.1583,5.2947,-178.7833,-364.9366,-218.9938,6.3974,2.4362,5.2551,6.5132,1.9711,5.3496,100
RocketTile_21,12.0,14.0,0.0,64.0,4.0,24.0,8.0,1.0,64.0,4.0,8.0,2.0,63531.972,63531.972,63531.972,63531.972,63531.972,10110000.0,1572400.0,3005200.0,10075000.0,1560600.0,2985200.0,11354000.0,1480000.0,3084500.0,10005000.0,1559400.0,2893500.0,10105000.0,1571400.0,3002900.0,6.5514,2.0202,5.3938,6.4974,2.2419,5.3632,6.7333,2.8392,5.6819,6.4255,2.4733,5.2872,6.5693,2.0579,5.4164,100
RocketTile_22,12.0,42.0,512.0,64.0,2.0,12.0,8.0,0.0,64.0,4.0,20.0,2.0,50226.8587,50226.8587,50226.8587,50226.8587,50226.8587,7817800.0,1262000.0,2370000.0,7787500.0,1252000.0,2352600.0,9036600.0,1189600.0,2468200.0,7758800.0,1250400.0,2285500.0,7814000.0,1261300.0,2368200.0,6.4983,1.936,5.3309,6.4387,2.1446,5.2948,6.6816,2.7284,5.6159,6.4235,2.4461,5.2817,6.5142,1.9707,5.3508,100
RocketTile_23,9.0,42.0,512.0,64.0,4.0,12.0,4.0,1.0,64.0,1.0,16.0,2.0,50042.808,50042.808,50042.808,50042.808,50042.808,8189500.0,1326800.0,2504200.0,8165700.0,1314200.0,2484600.0,9638400.0,1232800.0,2618600.0,8102700.0,1317200.0,2398600.0,8185900.0,1326100.0,2502600.0,6.5849,2.1197,5.4359,6.518,2.3027,5.3892,6.7301,2.8125,5.6726,6.4918,2.6044,5.3664,6.6048,2.1603,5.4589,100
RocketTile_24,3.0,28.0,0.0,32.0,4.0,12.0,4.0,0.0,64.0,1.0,20.0,1.0,36647.1605,36647.1605,36647.1605,36647.1605,36647.1605,5816000.0,1042000.0,1881600.0,5793500.0,1034900.0,1869100.0,6838100.0,985990.0,1967200.0,5751800.0,1032600.0,1813400.0,5813300.0,1041400.0,1880300.0,6.5682,2.0681,5.4181,6.4994,2.2562,5.3659,6.6898,2.7552,5.6284,6.479,2.5438,5.3453,6.5859,2.1091,5.4404,100
RocketTile_25,0.0,28.0,256.0,64.0,4.0,32.0,8.0,1.0,64.0,1.0,16.0,1.0,46827.8712,46827.8712,46827.8712,46827.8712,46827.8712,7451900.0,1110800.0,2159300.0,7411700.0,1098800.0,2137300.0,8645400.0,1027700.0,2244900.0,7381700.0,1105200.0,2066200.0,7448200.0,1110100.0,2157600.0,6.54,2.008,5.3806,6.4892,2.2198,5.351,6.6687,2.6858,5.6001,6.4343,2.485,5.2974,6.5618,2.0544,5.4077,100
RocketTile_26,0.0,56.0,1024.0,64.0,2.0,8.0,4.0,1.0,64.0,4.0,24.0,1.0,48976.1237,48976.1237,48976.1237,48976.1237,48976.1237,7388900.0,1107300.0,2137000.0,7351700.0,1096500.0,2117200.0,8599100.0,1031800.0,2229800.0,7316600.0,1104200.0,2047900.0,7385400.0,1106700.0,2135500.0,6.5402,2.0062,5.3797,6.4599,2.1773,5.3168,6.6825,2.7117,5.6147,6.3981,2.4127,5.252,6.5613,2.0503,5.4062,100
RocketTile_27,12.0,42.0,256.0,64.0,2.0,8.0,4.0,0.0,32.0,1.0,4.0,1.0,31700.1989,31700.1989,31700.1989,31700.1989,31700.1989,4880600.0,769320.0,1461500.0,4855500.0,759800.0,1445600.0,6018800.0,705250.0,1558300.0,4815700.0,764410.0,1386800.0,4878400.0,768880.0,1460500.0,6.5829,2.0824,5.4332,6.5187,2.2868,5.3919,6.7145,2.7675,5.6534,6.4811,2.5576,5.3533,6.6024,2.1226,5.4582,100
RocketTile_28,12.0,42.0,256.0,32.0,2.0,16.0,4.0,1.0,32.0,2.0,24.0,1.0,34638.9638,34638.9638,34638.9638,34638.9638,34638.9638,5338200.0,953620.0,1732400.0,5300400.0,941470.0,1710600.0,6675800.0,874200.0,1840000.0,5275900.0,960600.0,1639000.0,5335900.0,953150.0,1731300.0,6.5492,2.0172,5.3908,6.4588,2.1628,5.316,6.6512,2.6857,5.5866,6.4479,2.5026,5.3129,6.5652,2.0532,5.4129,100
RocketTile_29,3.0,42.0,256.0,64.0,2.0,8.0,4.0,0.0,32.0,2.0,32.0,2.0,36647.1605,36647.1605,36647.1605,36647.1605,36647.1605,5791300.0,993080.0,1832700.0,5768300.0,983740.0,1817600.0,6926900.0,930110.0,1930100.0,5747900.0,990970.0,1762400.0,5788500.0,992500.0,1831400.0,6.5616,2.047,5.4054,6.5018,2.2412,5.3641,6.7091,2.7661,5.6489,6.4552,2.5318,5.3207,6.5815,2.0888,5.4305,100
RocketTile_30,3.0,42.0,256.0,64.0,4.0,16.0,8.0,0.0,32.0,1.0,4.0,1.0,44183.8282,44183.8282,44183.8282,44183.8282,44183.8282,7097900.0,1109700.0,2109300.0,7065900.0,1100300.0,2092400.0,8245800.0,1038100.0,2200000.0,7017400.0,1094700.0,2024900.0,7094700.0,1109100.0,2107900.0,6.6821,2.2691,5.5579,6.6344,2.4442,5.5262,6.7074,2.7632,5.6435,6.5255,2.6237,5.3969,6.6949,2.2963,5.5744,100
RocketTile_31,0.0,42.0,0.0,32.0,4.0,4.0,8.0,1.0,32.0,4.0,24.0,3.0,51731.905,51731.905,51731.905,51731.905,51731.905,8591900.0,1708700.0,2991500.0,8555000.0,1697900.0,2972500.0,9818600.0,1623100.0,3081700.0,8515600.0,1697200.0,2895400.0,8587900.0,1707800.0,2989600.0,6.5621,2.1828,5.4811,6.577,2.4103,5.4665,6.7224,2.7905,5.6637,6.4791,2.5341,5.3497,6.5771,2.215,5.5019,100
RocketTile_32,9.0,56.0,128.0,32.0,4.0,28.0,8.0,1.0,32.0,4.0,12.0,3.0,54589.739,54589.739,54589.739,54589.739,54589.739,9060900.0,1774800.0,3129000.0,9020200.0,1760200.0,3104400.0,10572000.0,1675600.0,3249400.0,8991700.0,1780200.0,3022100.0,9056700.0,1773900.0,3127100.0,6.5661,2.0405,5.4117,6.4912,2.2069,5.3539,6.7435,2.8399,5.6937,6.4585,2.5155,5.3261,6.5792,2.0676,5.4278,100
RocketTile_33,12.0,28.0,512.0,64.0,1.0,32.0,8.0,0.0,32.0,4.0,16.0,1.0,36446.4202,36446.4202,36446.4202,36446.4202,36446.4202,5619400.0,1018700.0,1820500.0,5601900.0,1009700.0,1807200.0,6787500.0,952670.0,1920400.0,5543500.0,1002600.0,1736700.0,5618700.0,1018400.0,1819700.0,6.4751,1.8758,5.2997,6.4097,2.0762,5.2561,6.6595,2.6839,5.5894,6.3884,2.4059,5.2409,6.4901,1.9082,5.3185,100
RocketTile_34,12.0,0.0,128.0,64.0,4.0,20.0,8.0,1.0,32.0,1.0,24.0,3.0,48126.0485,48126.0485,48126.0485,48126.0485,48126.0485,8050900.0,1358400.0,2543100.0,8012100.0,1345800.0,2520900.0,9236400.0,1267600.0,2617500.0,7933400.0,1348400.0,2434300.0,8047300.0,1357700.0,2541500.0,6.5646,2.0407,5.4117,6.4998,2.2312,5.3654,6.6825,2.7246,5.6155,6.4295,2.5104,5.2938,6.5839,2.08,5.4344,100
RocketTile_35,9.0,42.0,0.0,32.0,1.0,20.0,4.0,0.0,32.0,1.0,8.0,3.0,24337.404,24337.404,24337.404,24337.404,24337.404,3910800.0,781920.0,1384800.0,3888100.0,774360.0,1371500.0,4972700.0,725950.0,1480500.0,3853200.0,778870.0,1320900.0,3909300.0,781600.0,1384100.0,6.6055,2.1016,5.4613,6.6022,2.4231,5.4893,6.7187,2.7994,5.6588,6.5334,2.6502,5.4178,6.6202,2.133,5.4799,100
RocketTile_36,9.0,0.0,0.0,64.0,1.0,28.0,8.0,1.0,32.0,4.0,12.0,2.0,38941.2965,38941.2965,38941.2965,38941.2965,38941.2965,6114300.0,1104700.0,2003600.0,6075300.0,1092500.0,1982200.0,7359600.0,1028000.0,2103300.0,6011500.0,1105700.0,1906600.0,6110700.0,1103800.0,2001700.0,6.5042,1.957,5.3363,6.4472,2.1428,5.2978,6.7076,2.7881,5.6491,6.4323,2.5024,5.2944,6.5179,1.9868,5.3543,100
RocketTile_37,12.0,56.0,1024.0,64.0,2.0,4.0,8.0,0.0,32.0,4.0,4.0,2.0,45372.1824,45372.1824,45372.1824,45372.1824,45372.1824,7369500.0,1360000.0,2431300.0,7345200.0,1349200.0,2415100.0,76525000.0,46795000.0,58666000.0,75132000.0,47628000.0,58464000.0,7366000.0,1359300.0,2429700.0,6.5324,1.9828,5.3675,6.4571,2.1534,5.3132,-178.7885,-364.7472,-218.9861,6.4291,2.4671,5.2894,6.5516,2.0198,5.3914,100
RocketTile_38,0.0,28.0,0.0,32.0,1.0,24.0,8.0,0.0,64.0,2.0,12.0,3.0,30996.9374,30996.9374,30996.9374,30996.9374,30996.9374,4879700.0,896310.0,1628400.0,4843300.0,887590.0,1611700.0,5941200.0,836910.0,1716000.0,4778900.0,890040.0,1549200.0,4877700.0,895930.0,1627500.0,6.5774,2.0995,5.4255,6.5171,2.267,5.3815,6.6849,2.7246,5.6208,6.4564,2.4828,5.3129,6.5954,2.1353,5.4486,100
RocketTile_39,3.0,56.0,0.0,64.0,1.0,32.0,8.0,0.0,32.0,2.0,32.0,2.0,28516.5619,28516.5619,28516.5619,28516.5619,28516.5619,4395300.0,779680.0,1422800.0,4376500.0,772640.0,1411100.0,5463400.0,725580.0,1520300.0,4343400.0,775670.0,1360100.0,4393400.0,779340.0,1421900.0,6.5914,2.1318,5.4483,6.5538,2.3645,5.4369,6.7285,2.829,5.6745,6.4926,2.5887,5.3698,6.6101,2.1726,5.4734,100
RocketTile_40,9.0,42.0,256.0,64.0,2.0,32.0,4.0,1.0,64.0,4.0,16.0,2.0,53095.9104,53095.9104,53095.9104,53095.9104,53095.9104,8249800.0,1297500.0,2484300.0,8200100.0,1283400.0,2457000.0,9755500.0,1209300.0,2602300.0,8147900.0,1304400.0,2368800.0,8245600.0,1296600.0,2482400.0,6.5675,2.0651,5.4196,6.5187,2.2797,5.39,6.6412,2.6437,5.5634,6.4787,2.5462,5.3446,6.5798,2.0954,5.4378,100
RocketTile_41,3.0,0.0,256.0,32.0,2.0,4.0,8.0,0.0,64.0,2.0,12.0,3.0,35536.9464,35536.9464,35536.9464,35536.9464,35536.9464,5648700.0,1043700.0,1884100.0,5622700.0,1036400.0,1870300.0,6714900.0,984220.0,1973900.0,5608200.0,1040000.0,1818600.0,5646000.0,1043100.0,1882900.0,6.4726,1.868,5.2956,6.432,2.1119,5.2819,6.7001,2.7559,5.6367,6.4256,2.4563,5.2845,6.4929,1.9084,5.3219,100
RocketTile_42,9.0,0.0,1024.0,64.0,4.0,24.0,8.0,1.0,64.0,4.0,4.0,1.0,62039.101,62039.101,62039.101,62039.101,62039.101,9751200.0,1462600.0,2819700.0,9705100.0,1448800.0,2795300.0,10942000.0,1370800.0,2894800.0,9635200.0,1444500.0,2706000.0,9746500.0,1461700.0,2817600.0,6.5511,2.0321,5.3974,6.4981,2.2405,5.3658,6.6856,2.7377,5.6284,6.4252,2.4722,5.2888,6.5708,2.0734,5.4218,100
RocketTile_43,3.0,56.0,1024.0,32.0,2.0,16.0,8.0,0.0,64.0,2.0,16.0,1.0,35735.1696,35735.1696,35735.1696,35735.1696,35735.1696,5525800.0,1004300.0,1793500.0,5497600.0,994410.0,1776800.0,74599000.0,46443000.0,58020000.0,73338000.0,47273000.0,57842000.0,5523100.0,1003800.0,1792200.0,6.5788,2.1258,5.4321,6.5021,2.2839,5.3718,-178.4764,-364.7286,-218.8812,6.4402,2.5296,5.3073,6.5984,2.167,5.4574,100
RocketTile_44,0.0,56.0,1024.0,64.0,4.0,20.0,8.0,0.0,64.0,1.0,16.0,1.0,43767.3542,43767.3542,43767.3542,43767.3542,43767.3542,6978000.0,1047200.0,2020200.0,6957500.0,1039900.0,2008200.0,8049100.0,980870.0,2106600.0,6887300.0,1026300.0,1940500.0,6974500.0,1046500.0,2018500.0,6.6083,2.137,5.4679,6.5384,2.3201,5.4188,6.6909,2.786,5.6383,6.4953,2.554,5.3673,6.6262,2.1762,5.4919,100
RocketTile_45,12.0,42.0,128.0,64.0,2.0,12.0,4.0,0.0,64.0,4.0,20.0,3.0,51146.7566,51146.7566,51146.7566,51146.7566,51146.7566,8011700.0,1316600.0,2468500.0,7976300.0,1306200.0,2449600.0,9240000.0,1242800.0,2568500.0,7957500.0,1313900.0,2387800.0,8007900.0,1315900.0,2466800.0,6.6491,2.1905,5.5138,6.5899,2.3695,5.4681,6.6746,2.675,5.5996,6.539,2.6634,5.4196,6.6614,2.2177,5.5296,100
RocketTile_46,6.0,28.0,1024.0,32.0,1.0,4.0,8.0,0.0,64.0,1.0,8.0,1.0,25370.2714,25370.2714,25370.2714,25370.2714,25370.2714,3873900.0,730970.0,1288600.0,3850300.0,721720.0,1273800.0,72873000.0,46178000.0,57516000.0,71674000.0,46998000.0,57342000.0,3873500.0,730920.0,1288300.0,6.6044,2.1497,5.4596,6.5608,2.3866,5.4456,-178.6417,-364.3972,-218.7928,6.5239,2.6658,5.4041,6.6216,2.1869,5.4815,100
RocketTile_47,3.0,28.0,128.0,32.0,4.0,12.0,8.0,0.0,32.0,2.0,28.0,3.0,43011.2333,43011.2333,43011.2333,43011.2333,43011.2333,7205200.0,1438100.0,2519200.0,7176300.0,1428500.0,2502900.0,8402000.0,1362600.0,2614900.0,7123900.0,1426100.0,2431800.0,7202000.0,1437400.0,2517700.0,6.5576,2.0182,5.3955,6.4706,2.1757,5.3257,6.6841,2.713,5.6141,6.4558,2.5175,5.3203,6.5756,2.0539,5.418,100
RocketTile_48,0.0,56.0,256.0,32.0,2.0,32.0,4.0,1.0,64.0,1.0,4.0,1.0,30564.2938,30564.2938,30564.2938,30564.2938,30564.2938,4630600.0,765390.0,1435700.0,4596000.0,754420.0,1415900.0,5835200.0,697070.0,1537700.0,4572900.0,774540.0,1357100.0,4628500.0,765010.0,1434800.0,6.562,2.0889,5.4105,6.4886,2.271,5.3594,6.6858,2.7255,5.6174,6.4964,2.6137,5.3753,6.575,2.1219,5.4287,100
RocketTile_49,0.0,0.0,0.0,64.0,1.0,12.0,8.0,1.0,64.0,1.0,8.0,1.0,27420.876,27420.876,27420.876,27420.876,27420.876,4029200.0,610720.0,1183400.0,3998000.0,599910.0,1164700.0,5204000.0,541000.0,1281700.0,3950700.0,609810.0,1100000.0,4027400.0,610190.0,1182400.0,6.5456,2.0533,5.3911,6.4783,2.2198,5.3377,6.6385,2.6108,5.5515,6.4549,2.4881,5.315,6.5627,2.0885,5.4119,100
RocketTile_50,0.0,14.0,0.0,32.0,1.0,16.0,4.0,1.0,64.0,4.0,4.0,3.0,44159.8608,44159.8608,44159.8608,44159.8608,44159.8608,6881000.0,1223100.0,2242000.0,6846300.0,1211800.0,2221900.0,8096800.0,1146700.0,2333100.0,6798300.0,1225400.0,2146100.0,6877500.0,1222200.0,2240200.0,6.5386,1.9813,5.3719,6.4786,2.1889,5.3347,6.6946,2.7518,5.636,6.4259,2.4628,5.285,6.5574,2.0217,5.3965,100
RocketTile_51,9.0,0.0,1024.0,64.0,1.0,12.0,8.0,0.0,32.0,1.0,12.0,2.0,24777.4349,24777.4349,24777.4349,24777.4349,24777.4349,3816000.0,656770.0,1220300.0,3793600.0,649440.0,1207500.0,4880000.0,606760.0,1320100.0,3755200.0,654890.0,1158100.0,3814500.0,656530.0,1219700.0,6.5463,2.0263,5.3863,6.4968,2.2572,5.3649,6.7496,2.8729,5.7019,6.4582,2.5019,5.3206,6.5641,2.0648,5.4102,100
RocketTile_52,9.0,14.0,256.0,64.0,1.0,12.0,8.0,0.0,64.0,2.0,4.0,2.0,32580.0691,32580.0691,32580.0691,32580.0691,32580.0691,4965300.0,827370.0,1544900.0,4940500.0,818470.0,1529800.0,6085000.0,771450.0,1645600.0,4902300.0,826310.0,1476100.0,4964600.0,826950.0,1544000.0,6.5658,2.0475,5.4066,6.5207,2.2666,5.3842,6.6716,2.7157,5.6024,6.4927,2.57,5.3625,6.5839,2.0846,5.4287,100
