Design,nRAS,nBTBEntries,nBHTEntries,nICacheSets,nICacheWays,nICacheTLBWays,MulDivUnroll,useVM,nDCacheSets,nDCacheWays,nDCacheTLBWays,nMSHRs,chipfinish_Total_Area,cts_Total_Area,floorplan_Total_Area,placement_Total_Area,route_Total_Area,chipfinish_Fast_Total_Power(nW),chipfinish_Slow_Total_Power(nW),chipfinish_Typical_Total_Power(nW),cts_Fast_Total_Power(nW),cts_Slow_Total_Power(nW),cts_Typical_Total_Power(nW),floorplan_Fast_Total_Power(nW),floorplan_Slow_Total_Power(nW),floorplan_Typical_Total_Power(nW),placement_Fast_Total_Power(nW),placement_Slow_Total_Power(nW),placement_Typical_Total_Power(nW),route_Fast_Total_Power(nW),route_Slow_Total_Power(nW),route_Typical_Total_Power(nW),chipfinish_FUNC_Fast_(Setup)_WNS,chipfinish_FUNC_Slow_(Setup)_WNS,chipfinish_FUNC_Typical_(Setup)_WNS,cts_FUNC_Fast_(Setup)_WNS,cts_FUNC_Slow_(Setup)_WNS,cts_FUNC_Typical_(Setup)_WNS,floorplan_FUNC_Fast_(Setup)_WNS,floorplan_FUNC_Slow_(Setup)_WNS,floorplan_FUNC_Typical_(Setup)_WNS,placement_FUNC_Fast_(Setup)_WNS,placement_FUNC_Slow_(Setup)_WNS,placement_FUNC_Typical_(Setup)_WNS,route_FUNC_Fast_(Setup)_WNS,route_FUNC_Slow_(Setup)_WNS,route_FUNC_Typical_(Setup)_WNS,Frequency
RocketTile_83,12.0,0.0,1024.0,32.0,1.0,20.0,8.0,0.0,64.0,2.0,24.0,3.0,32600.6438,32600.6438,32600.6438,32600.6438,32600.6438,33663000.0,14629000.0,21036000.0,33719000.0,14513000.0,20905000.0,30434000.0,13444000.0,19373000.0,33650000.0,13576000.0,20127000.0,33655000.0,14626000.0,21031000.0,0.1473,-0.062,0.0861,0.142,-0.0554,0.0821,-0.431,-1.059,-0.6349,0.1552,-0.0328,0.0954,0.1477,-0.0598,0.0871,1600
RocketTile_84,3.0,28.0,128.0,64.0,4.0,4.0,8.0,0.0,32.0,2.0,32.0,1.0,49158.2045,49158.2045,49158.2045,49158.2045,49158.2045,45304000.0,19605000.0,27657000.0,45264000.0,19449000.0,27476000.0,41633000.0,18173000.0,25724000.0,45500000.0,18289000.0,26608000.0,45292000.0,19599000.0,27649000.0,0.1166,-0.0791,0.0611,0.1031,-0.078,0.0425,-0.504,-1.2347,-0.7281,0.1395,-0.0472,0.0859,0.1176,-0.0778,0.0609,1600
RocketTile_85,9.0,14.0,1024.0,64.0,4.0,16.0,8.0,0.0,32.0,4.0,4.0,2.0,58591.3306,58591.3306,58591.3306,58591.3306,58591.3306,60371000.0,27355000.0,38196000.0,59952000.0,27168000.0,37901000.0,1141300000.0,753750000.0,933710000.0,1145400000.0,753840000.0,934660000.0,60353000.0,27348000.0,38184000.0,0.0621,-0.1113,0.0102,0.071,-0.1228,0.0077,-187.7513,-373.1945,-227.807,0.1293,-0.0515,0.0758,0.0638,-0.1098,0.0123,1600
RocketTile_86,3.0,0.0,0.0,64.0,2.0,24.0,4.0,1.0,64.0,4.0,12.0,2.0,52665.4282,52665.4282,52665.4282,52665.4282,52665.4282,46656000.0,20173000.0,28644000.0,46655000.0,19991000.0,28437000.0,42349000.0,18427000.0,26280000.0,46526000.0,18691000.0,27371000.0,46643000.0,20167000.0,28635000.0,0.1222,-0.072,0.0621,0.0864,-0.1203,0.0164,-0.6702,-1.383,-0.9017,0.1389,-0.0558,0.0758,0.1224,-0.0691,0.0635,1600
RocketTile_87,12.0,42.0,128.0,32.0,4.0,4.0,8.0,0.0,64.0,4.0,32.0,2.0,57158.0496,57158.0496,57158.0496,57158.0496,57158.0496,56138000.0,25405000.0,35509000.0,55772000.0,25205000.0,35213000.0,51196000.0,23585000.0,32959000.0,55266000.0,23763000.0,33938000.0,56118000.0,25396000.0,35495000.0,0.0873,-0.1107,0.025,0.0959,-0.1012,0.0324,-0.7495,-1.5737,-1.0103,0.1449,-0.0609,0.0845,0.0875,-0.11,0.0253,1600
RocketTile_88,9.0,28.0,256.0,64.0,4.0,32.0,8.0,1.0,32.0,4.0,8.0,1.0,60132.109,60132.109,60132.109,60132.109,60132.109,56900000.0,25141000.0,35230000.0,56586000.0,24894000.0,34893000.0,52009000.0,23085000.0,32503000.0,56574000.0,23213000.0,33549000.0,56880000.0,25132000.0,35216000.0,0.0585,-0.1192,0.0052,0.0855,-0.1019,0.0271,-0.5979,-1.3947,-0.8398,0.137,-0.0584,0.0841,0.0629,-0.1187,0.01,1600
RocketTile_89,3.0,14.0,128.0,32.0,1.0,4.0,8.0,1.0,32.0,4.0,8.0,3.0,41068.8374,41068.8374,41068.8374,41068.8374,41068.8374,45667000.0,20788000.0,29378000.0,45447000.0,20589000.0,29089000.0,41456000.0,19058000.0,27009000.0,45659000.0,19233000.0,28022000.0,45659000.0,20786000.0,29374000.0,0.1083,-0.0906,0.0466,0.0991,-0.1119,0.0356,-0.4504,-1.096,-0.6603,0.1322,-0.0527,0.0765,0.1092,-0.0885,0.0468,1600
RocketTile_90,9.0,0.0,256.0,64.0,4.0,16.0,8.0,1.0,64.0,1.0,32.0,2.0,49782.7512,49782.7512,49782.7512,49782.7512,49782.7512,47262000.0,19799000.0,28549000.0,47195000.0,19599000.0,28307000.0,42710000.0,18233000.0,26305000.0,46803000.0,18351000.0,27234000.0,47248000.0,19794000.0,28540000.0,0.1206,-0.0861,0.0604,0.1141,-0.0708,0.0533,-0.4228,-1.0256,-0.6164,0.1501,-0.0412,0.0886,0.1213,-0.0861,0.0607,1600
RocketTile_91,9.0,28.0,128.0,32.0,1.0,8.0,8.0,1.0,32.0,4.0,32.0,3.0,41807.7763,41807.7763,41807.7763,41807.7763,41807.7763,46297000.0,21039000.0,29703000.0,46120000.0,20843000.0,29443000.0,42149000.0,19131000.0,27242000.0,46021000.0,19349000.0,28251000.0,46281000.0,21032000.0,29693000.0,0.1232,-0.0806,0.0603,0.1152,-0.0791,0.0512,-0.5114,-1.1992,-0.7421,0.146,-0.0334,0.0924,0.1241,-0.0799,0.0615,1600
RocketTile_92,12.0,0.0,128.0,64.0,4.0,8.0,8.0,1.0,32.0,2.0,20.0,2.0,51809.7168,51809.7168,51809.7168,51809.7168,51809.7168,49354000.0,21666000.0,30696000.0,49282000.0,21482000.0,30470000.0,45694000.0,20056000.0,28587000.0,49353000.0,20152000.0,29411000.0,49341000.0,21660000.0,30687000.0,0.1267,-0.0571,0.0695,0.1142,-0.0614,0.058,-0.4943,-1.1694,-0.719,0.1471,-0.0474,0.0935,0.1276,-0.0555,0.0699,1600
RocketTile_93,0.0,56.0,128.0,32.0,4.0,32.0,8.0,0.0,64.0,2.0,4.0,2.0,44824.2984,44824.2984,44824.2984,44824.2984,44824.2984,45628000.0,20607000.0,28951000.0,45638000.0,20480000.0,28805000.0,41767000.0,19316000.0,27043000.0,45166000.0,19400000.0,27763000.0,45617000.0,20602000.0,28943000.0,0.1293,-0.0672,0.0838,0.1277,-0.0638,0.0703,-0.5539,-1.1822,-0.7686,0.1516,-0.0591,0.0959,0.13,-0.0669,0.0846,1600
RocketTile_94,3.0,14.0,512.0,32.0,1.0,8.0,8.0,1.0,64.0,2.0,16.0,2.0,35558.4514,35558.4514,35558.4514,35558.4514,35558.4514,36866000.0,15696000.0,22517000.0,36876000.0,15500000.0,22295000.0,33322000.0,14008000.0,20359000.0,36979000.0,14059000.0,21139000.0,36850000.0,15688000.0,22506000.0,0.1489,-0.0651,0.0936,0.15,-0.0338,0.0943,-0.4601,-1.1171,-0.6835,0.156,-0.0533,0.0901,0.1504,-0.0633,0.0937,1600
RocketTile_95,12.0,14.0,512.0,64.0,1.0,32.0,8.0,0.0,64.0,4.0,24.0,3.0,46399.0853,46399.0853,46399.0853,46399.0853,46399.0853,45576000.0,20216000.0,28617000.0,45389000.0,20028000.0,28373000.0,41547000.0,18609000.0,26389000.0,45648000.0,18753000.0,27347000.0,45572000.0,20215000.0,28614000.0,0.1049,-0.0904,0.0475,0.1205,-0.0898,0.0563,-0.5716,-1.3071,-0.8069,0.1482,-0.0641,0.0819,0.1057,-0.0904,0.0484,1600
RocketTile_96,9.0,42.0,512.0,64.0,1.0,32.0,8.0,1.0,64.0,1.0,12.0,3.0,35184.9326,35184.9326,35184.9326,35184.9326,35184.9326,38912000.0,16210000.0,23719000.0,38830000.0,15998000.0,23456000.0,35055000.0,14460000.0,21472000.0,38970000.0,14584000.0,22385000.0,38898000.0,16206000.0,23711000.0,0.1337,-0.0578,0.0738,0.1429,-0.0667,0.0757,-0.4365,-1.0343,-0.6317,0.1572,-0.0374,0.0957,0.1343,-0.0561,0.0745,1600
RocketTile_97,0.0,56.0,1024.0,64.0,1.0,12.0,8.0,0.0,64.0,1.0,24.0,2.0,27887.8291,27887.8291,27887.8291,27887.8291,27887.8291,26713000.0,10859000.0,15902000.0,26804000.0,10745000.0,15783000.0,23823000.0,9761700.0,14385000.0,26950000.0,9881400.0,15101000.0,26704000.0,10855000.0,15896000.0,0.1593,-0.0547,0.0996,0.162,-0.0298,0.1043,-0.4469,-1.0721,-0.6508,0.1533,-0.0325,0.095,0.1599,-0.0501,0.1019,1600
RocketTile_98,9.0,0.0,512.0,64.0,4.0,12.0,8.0,0.0,32.0,4.0,24.0,1.0,55108.2658,55108.2658,55108.2658,55108.2658,55108.2658,50110000.0,22656000.0,31496000.0,50144000.0,22514000.0,31344000.0,46518000.0,21318000.0,29602000.0,49880000.0,21430000.0,30350000.0,50096000.0,22649000.0,31487000.0,0.1117,-0.0808,0.0482,0.1047,-0.0819,0.04,-0.7551,-1.5264,-1.0115,0.1437,-0.0373,0.0895,0.112,-0.0804,0.0488,1600
RocketTile_99,3.0,42.0,0.0,64.0,2.0,20.0,4.0,0.0,64.0,4.0,24.0,1.0,48151.0555,48151.0555,48151.0555,48151.0555,48151.0555,39497000.0,16955000.0,23859000.0,39387000.0,16811000.0,23681000.0,35948000.0,15741000.0,22120000.0,39424000.0,15834000.0,22865000.0,39482000.0,16949000.0,23850000.0,0.1047,-0.0761,0.0478,0.1096,-0.0653,0.0501,-0.634,-1.359,-0.8798,0.1466,-0.0427,0.0889,0.1053,-0.0758,0.0487,1600
