Design,Frequency,chipfinish_Cell_Area,chipfinish_Fast_Power,chipfinish_Fast_WNS,chipfinish_Slow_Power,chipfinish_Slow_WNS,chipfinish_Typical_Power,chipfinish_Typical_WNS,cts_Cell_Area,cts_Fast_Power,cts_Fast_WNS,cts_Slow_Power,cts_Slow_WNS,cts_Typical_Power,cts_Typical_WNS,floorplan_Cell_Area,floorplan_Fast_Power,floorplan_Fast_WNS,floorplan_Slow_Power,floorplan_Slow_WNS,floorplan_Typical_Power,floorplan_Typical_WNS,placement_Cell_Area,placement_Fast_Power,placement_Fast_WNS,placement_Slow_Power,placement_Slow_WNS,placement_Typical_Power,placement_Typical_WNS,route_Cell_Area,route_Fast_Power,route_Fast_WNS,route_Slow_Power,route_Slow_WNS,route_Typical_Power,route_Typical_WNS,xlen,decoders,lanes,decoder-at,dispatcher-at,relaxed-branch,relaxed-shift,relaxed-btb,with-mul,with-div,with-rvc,with-aligner-buffer,with-dispatcher-buffer,with-gshare,with-btb,with-ras,with-late-alu,btb-sets,btb-hash-width,regfile-async,allow-bypass-from,fetch-l1,lsu-l1,fetch-l1-sets,fetch-l1-ways,fetch-l1-mem-data-width-min,fetch-reduced-bank,lsu-l1-sets,lsu-l1-ways,lsu-l1-store-buffer-slots,lsu-l1-store-buffer-ops,lsu-l1-refill-count,lsu-l1-writeback-count,with-lsu-bypass,with-iterative-shift,div-radix,div-ipc
VexiiRiscv_29,400MHz,31907.7800,1.3196e+07,1.0364,4.4199e+06,-0.0683,6.8097e+06,0.7354,18402.6370,1.2740e+07,1.1011,4.2419e+06,0.0016,6.4947e+06,0.7896,18145.7540,2.8661e+08,1.1418,1.8522e+08,-0.2642,2.3033e+08,0.7417,18223.8530,2.8388e+08,0.9319,1.8599e+08,0.0001,2.2997e+08,0.6443,18405.1270,1.3192e+07,1.1339,4.4189e+06,-0.0261,6.8078e+06,0.8316,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,4,1,1,1,0,0,1,0,3,0,0,3,2,6,1,0,0,1,1,0
VexiiRiscv_29,800MHz,32095.6050,2.1998e+07,0.3919,8.9941e+06,-0.0588,1.3039e+07,0.2626,18713.0770,2.1114e+07,0.3878,8.6468e+06,0.0000,1.2443e+07,0.2512,18273.4560,5.6594e+08,0.4424,3.7044e+08,-0.1968,4.5964e+08,0.2452,18417.5620,5.6390e+08,0.4309,3.7091e+08,-0.0009,4.5953e+08,0.2906,18770.3280,2.1993e+07,0.4459,8.9927e+06,-0.0288,1.3036e+07,0.3096,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,4,1,1,1,0,0,1,0,3,0,0,3,2,6,1,0,0,1,1,0
VexiiRiscv_3,800MHz,144554.7000,1.3228e+08,0.1149,3.2671e+07,-0.3514,6.3219e+07,-0.0415,91539.1590,1.2272e+08,-1.0127,2.9906e+07,-1.7547,5.7599e+07,-1.2815,81497.0540,1.2366e+10,-774.3048,8.6939e+08,-1440.7456,3.6479e+09,-912.6678,82371.1240,6.3182e+08,0.3999,3.8316e+08,-0.0025,4.8691e+08,0.2680,90896.6230,1.3223e+08,0.1565,3.2662e+07,-0.3204,6.3198e+07,-0.0010,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,6,1,2,1,2,3,2,1,0,0,0,0,1,1
VexiiRiscv_3,100MHz,144511.3610,4.2284e+07,5.8123,3.9177e+06,1.2425,1.1461e+07,4.7007,83440.0380,4.1014e+07,5.7033,3.5636e+06,1.1219,1.0681e+07,4.5552,81437.3540,1.5771e+09,-765.5532,1.0868e+08,-1431.7639,4.6037e+08,-904.1351,82049.4660,1.0056e+08,6.5223,5.0825e+07,3.3756,6.3628e+07,5.6190,83644.3900,4.2271e+07,6.0228,3.9156e+06,1.4956,1.1455e+07,4.9160,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,6,1,2,1,2,3,2,1,0,0,0,0,1,1
VexiiRiscv_3,400MHz,144511.3610,7.4923e+07,0.7060,1.6113e+07,-0.1431,3.1940e+07,0.4577,84139.6610,7.3172e+07,0.2165,1.4729e+07,-0.5323,2.9652e+07,-0.0576,81437.7650,6.2012e+09,-773.0532,4.3470e+08,-1439.2639,1.8267e+09,-911.6351,82096.3750,3.2792e+08,0.8459,1.9322e+08,0.0002,2.4492e+08,0.5752,84101.9860,7.4896e+07,0.7374,1.6107e+07,-0.0932,3.1927e+07,0.4882,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,6,1,2,1,2,3,2,1,0,0,0,0,1,1
VexiiRiscv_30,400MHz,26614.1670,1.5220e+07,1.0592,4.7799e+06,-0.0887,7.6676e+06,0.7471,15317.3730,1.4777e+07,1.0008,4.5344e+06,0.0002,7.2777e+06,0.6869,15177.1390,2.8691e+08,1.1811,1.8528e+08,-0.0984,2.3065e+08,0.8520,15212.6390,2.8513e+08,0.9502,1.8626e+08,0.0003,2.3055e+08,0.6440,15342.0110,1.5216e+07,1.1254,4.7788e+06,-0.0405,7.6655e+06,0.7991,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,2,0,0,1,0,0,1,2,0,1,3,1,1,5,0,1,1,0,1,1
VexiiRiscv_30,800MHz,26976.5770,2.4567e+07,0.4772,9.7067e+06,-0.0443,1.4501e+07,0.3359,15710.2350,2.3444e+07,0.4935,9.2152e+06,0.0000,1.3684e+07,0.3437,15390.8480,5.6754e+08,0.4133,3.7055e+08,-0.2792,4.6044e+08,0.2000,15489.5910,5.6599e+08,0.4451,3.7124e+08,-0.0001,4.6056e+08,0.3049,15757.4040,2.4561e+07,0.5291,9.7047e+06,-0.0209,1.4497e+07,0.3795,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,2,0,0,1,0,0,1,2,0,1,3,1,1,5,0,1,1,0,1,1
VexiiRiscv_30,100MHz,26498.7890,7.2148e+06,6.7101,1.2050e+06,2.5364,2.3542e+06,5.7211,15276.4970,7.0937e+06,6.7546,1.1427e+06,2.8377,2.2562e+06,5.7739,15124.2380,7.6485e+07,8.1326,4.6321e+07,6.0345,5.8312e+07,7.5510,15143.6640,7.4643e+07,6.8047,4.7520e+07,3.5373,5.8074e+07,5.8831,15301.0390,7.2128e+06,6.8761,1.2046e+06,2.7970,2.3532e+06,5.8934,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,2,0,0,1,0,0,1,2,0,1,3,1,1,5,0,1,1,0,1,1
VexiiRiscv_31,100MHz,147012.8040,3.2356e+07,5.6128,3.8383e+06,0.4184,9.0618e+06,4.3825,83939.8780,3.1790e+07,5.8485,3.5534e+06,0.8820,8.5720e+06,4.6077,82798.9660,9.0837e+08,-173.1846,1.8400e+08,-323.1458,3.7210e+08,-202.6194,83531.1740,9.8381e+07,5.7314,5.0639e+07,1.3417,6.3443e+07,4.5198,84227.5820,3.2345e+07,6.0307,3.8364e+06,0.9288,9.0571e+06,4.8272,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,4,3,2,0,4,2,2,0,1,1,1,0,1,1
VexiiRiscv_31,800MHz,147143.9680,9.0891e+07,0.3753,3.1153e+07,-0.0658,4.9384e+07,0.2506,85132.5140,8.7895e+07,0.3896,2.8901e+07,-0.0001,4.6102e+07,0.2585,82936.7510,7.0345e+09,-181.9386,1.4719e+09,-331.9003,2.9455e+09,-211.3740,83987.8670,6.3091e+08,0.3912,3.8553e+08,-0.0001,4.8817e+08,0.2612,85525.2800,9.0863e+07,0.4359,3.1146e+07,-0.0228,4.9371e+07,0.3043,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,4,3,2,0,4,2,2,0,1,1,1,0,1,1
